comp	P1	P2	P3	P4	Dstat	ABBA	BABA	se	Zscore	abs.z
3	a_lp_al_1311	c_lp_do_0007	c_ll_vl_0112	cat_autosomes	0.188123836914	28092	19196	0.0211803199704	8.88201109222653	8.88201109222653
3	a_lp_al_1311	c_lp_do_0007	c_ll_vl_0113	cat_autosomes	0.191661062542	23922	16227	0.0222651171234	8.60813179107734	8.60813179107734
3	a_lp_al_1311	c_lp_do_0007	c_ll_ya_0138	cat_autosomes	0.191347150259	22993	15607	0.0230498846414	8.30143635145664	8.30143635145664
3	a_lp_al_1311	c_lp_do_0007	c_ll_ya_0146	cat_autosomes	0.189347064169	27487	18735	0.0205265243815	9.22450682102097	9.22450682102097
3	a_lp_al_1311	c_lp_do_0141	a_ll_pv_0223	cat_autosomes	0.119493373014	16175	12722	0.0206138539741	5.79675072716319	5.79675072716319
3	a_lp_al_1311	c_lp_do_0141	c_ll_ba_0227	cat_autosomes	0.175752669759	18882	13237	0.0193216827581	9.096136809581	9.096136809581
3	a_lp_al_1311	c_lp_do_0141	c_ll_ba_0229	cat_autosomes	0.181904732656	19242	13319	0.0190226407579	9.56253839680256	9.56253839680256
3	a_lp_al_1311	c_lp_do_0141	c_ll_ca_0241	cat_autosomes	0.186572847178	19477	13352	0.0187377279024	9.9570688692786	9.9570688692786
3	a_lp_al_1311	c_lp_do_0141	c_ll_ca_0242	cat_autosomes	0.184912098961	19445	13376	0.0187947061798	9.83852033610071	9.83852033610071
3	a_lp_al_1311	c_lp_do_0141	c_ll_cr_0205	cat_autosomes	0.18279420451	17021	11760	0.0199163101473	9.17811598423923	9.17811598423923
3	a_lp_al_1311	c_lp_do_0141	c_ll_ki_0090	cat_autosomes	0.179765734054	19439	13515	0.0191220425792	9.40096923795893	9.40096923795893
3	a_lp_al_1311	c_lp_do_0141	c_ll_ki_0091	cat_autosomes	0.169601611615	16837	11954	0.0190903840565	8.88413827155316	8.88413827155316
3	a_lp_al_1311	c_lp_do_0141	c_ll_vl_0112	cat_autosomes	0.182683302619	19574	13527	0.0185623974142	9.84157910977865	9.84157910977865
3	a_lp_al_1311	c_lp_do_0141	c_ll_vl_0113	cat_autosomes	0.189167064602	17432	11886	0.0192914140595	9.80576457581373	9.80576457581373
3	a_lp_al_1311	c_lp_do_0141	c_ll_ya_0138	cat_autosomes	0.177249049697	16724	11688	0.0189784066883	9.3395116148645	9.3395116148645
3	a_lp_al_1311	c_lp_do_0141	c_ll_ya_0146	cat_autosomes	0.181656113604	19222	13312	0.0189063701353	9.60819619546275	9.60819619546275
3	a_lp_al_1311	c_lp_do_0144	a_ll_pv_0223	cat_autosomes	0.129652376858	18393	14171	0.0307424627191	4.21737119900444	4.21737119900444
3	a_lp_al_1311	c_lp_do_0144	c_ll_ba_0227	cat_autosomes	0.192132550612	21729	14725	0.0263133665478	7.30170920026437	7.30170920026437
3	a_lp_al_1311	c_lp_do_0144	c_ll_ba_0229	cat_autosomes	0.194202272666	22122	14927	0.026640484811	7.28974243688737	7.28974243688737
3	a_lp_al_1311	c_lp_do_0144	c_ll_ca_0241	cat_autosomes	0.199710137148	22350	14909	0.0265374810452	7.5255875570045	7.5255875570045
3	a_lp_al_1311	c_lp_do_0144	c_ll_ca_0242	cat_autosomes	0.196953385725	22237	14919	0.0272198374037	7.23565621660283	7.23565621660283
3	a_lp_al_1311	c_lp_do_0144	c_ll_cr_0205	cat_autosomes	0.194146642021	19381	13079	0.0271299602298	7.15617127251613	7.15617127251613
3	a_lp_al_1311	c_lp_do_0144	c_ll_ki_0090	cat_autosomes	0.191638563246	22261	15101	0.0272368967715	7.03599109890249	7.03599109890249
3	a_lp_al_1311	c_lp_do_0144	c_ll_ki_0091	cat_autosomes	0.183118564646	19189	13249	0.0269846571301	6.78602524994622	6.78602524994622
3	a_lp_al_1311	c_lp_do_0144	c_ll_vl_0112	cat_autosomes	0.19793395065	22381	14985	0.0257003361685	7.70160940122646	7.70160940122646
3	a_lp_al_1311	c_lp_do_0144	c_ll_vl_0113	cat_autosomes	0.19826435247	19745	13211	0.0267191739965	7.42030245755243	7.42030245755243
3	a_lp_al_1311	c_lp_do_0144	c_ll_ya_0138	cat_autosomes	0.196307460437	19050	12798	0.027615903356	7.1084931717198	7.1084931717198
3	a_lp_al_1311	c_lp_do_0144	c_ll_ya_0146	cat_autosomes	0.195844973014	22046	14825	0.0246186140722	7.95515833830603	7.95515833830603
3	a_lp_al_1311	c_lp_do_0153	a_ll_pv_0223	cat_autosomes	0.11536853496	22676	17985	0.0293517674192	3.9305481442502	3.9305481442502
3	a_lp_al_1311	c_lp_do_0153	c_ll_ba_0227	cat_autosomes	0.187042328987	26585	18207	0.0257890874159	7.25277036641789	7.25277036641789
3	a_lp_al_1311	c_lp_do_0153	c_ll_ba_0229	cat_autosomes	0.193184284784	27485	18585	0.0254533831237	7.58972918629915	7.58972918629915
3	a_lp_al_1311	c_lp_do_0153	c_ll_ca_0241	cat_autosomes	0.19446173661	27822	18763	0.0247469285385	7.85801503841038	7.85801503841038
3	a_lp_al_1311	c_lp_do_0153	c_ll_ca_0242	cat_autosomes	0.199284498179	27824	18577	0.0258126686588	7.72041437532885	7.72041437532885
3	a_lp_al_1311	c_lp_do_0153	c_ll_cr_0205	cat_autosomes	0.194244604317	23406	15792	0.0261875930971	7.41742868833984	7.41742868833984
3	a_lp_al_1311	c_lp_do_0153	c_ll_ki_0090	cat_autosomes	0.193778880712	27901	18843	0.0263672622857	7.34922263116766	7.34922263116766
3	a_lp_al_1311	c_lp_do_0153	c_ll_ki_0091	cat_autosomes	0.184659310132	23028	15849	0.0265047513777	6.96702668516124	6.96702668516124
3	a_lp_al_1311	c_lp_do_0153	c_ll_vl_0112	cat_autosomes	0.197427979187	28306	18972	0.0246615042166	8.00551245589101	8.00551245589101
3	a_lp_al_1311	c_lp_do_0153	c_ll_vl_0113	cat_autosomes	0.197931614627	24209	16209	0.0258224460231	7.66509936548754	7.66509936548754
3	a_lp_al_1311	c_lp_do_0153	c_ll_ya_0138	cat_autosomes	0.193798449612	22946	15496	0.0263284374788	7.36080330509735	7.36080330509735
3	a_lp_al_1311	c_lp_do_0153	c_ll_ya_0146	cat_autosomes	0.194703711743	27520	18550	0.0239010412192	8.14624392123102	8.14624392123102
3	a_lp_al_1311	c_lp_do_0162	a_ll_pv_0223	cat_autosomes	0.125415928103	18095	14062	0.0222736042207	5.63069752251612	5.63069752251612
3	a_lp_al_1311	c_lp_do_0162	c_ll_ba_0227	cat_autosomes	0.18588510745	21273	14604	0.0206265299619	9.01194276465091	9.01194276465091
3	a_lp_al_1311	c_lp_do_0162	c_ll_ba_0229	cat_autosomes	0.188141140233	21601	14760	0.0205749326496	9.1441922769384	9.1441922769384
3	a_lp_al_1311	c_lp_do_0162	c_ll_ca_0241	cat_autosomes	0.192453654408	21838	14789	0.0203897671862	9.43873721806174	9.43873721806174
3	a_lp_al_1311	c_lp_do_0162	c_ll_ca_0242	cat_autosomes	0.190746998544	21671	14728	0.0205290946837	9.29154458503483	9.29154458503483
3	a_lp_al_1311	c_lp_do_0162	c_ll_cr_0205	cat_autosomes	0.18616887998	18936	12992	0.0211994762981	8.78176787776052	8.78176787776052
3	a_lp_al_1311	c_lp_do_0162	c_ll_ki_0090	cat_autosomes	0.191019167074	21935	14899	0.0208519541668	9.16073215709136	9.16073215709136
3	a_lp_al_1311	c_lp_do_0162	c_ll_ki_0091	cat_autosomes	0.179663991976	18818	13086	0.0211227762891	8.50569970145033	8.50569970145033
3	a_lp_al_1311	c_lp_do_0162	c_ll_vl_0112	cat_autosomes	0.194075835788	22091	14910	0.0198719084372	9.76634108401446	9.76634108401446
3	a_lp_al_1311	c_lp_do_0162	c_ll_vl_0113	cat_autosomes	0.195565819861	19413	13062	0.0203712907446	9.60007013364337	9.60007013364337
3	a_lp_al_1311	c_lp_do_0162	c_ll_ya_0138	cat_autosomes	0.186908718998	18568	12720	0.0207806107876	8.99438043031586	8.99438043031586
3	a_lp_al_1311	c_lp_do_0162	c_ll_ya_0146	cat_autosomes	0.190017923618	21578	14687	0.0196307923807	9.67958500772572	9.67958500772572
3	a_lp_al_1311	c_lp_do_0163	a_ll_pv_0223	cat_autosomes	0.132040570953	18360	14077	0.0348379025062	3.79014123854044	3.79014123854044
3	a_lp_al_1311	c_lp_do_0163	c_ll_ba_0227	cat_autosomes	0.190686626526	21555	14651	0.0300636193182	6.34277012716701	6.34277012716701
3	a_lp_al_1311	c_lp_do_0163	c_ll_ba_0229	cat_autosomes	0.193560688603	21909	14803	0.0301343151749	6.42326488853558	6.42326488853558
3	a_lp_al_1311	c_lp_do_0163	c_ll_ca_0241	cat_autosomes	0.196380823768	22148	14877	0.0296749837022	6.61772305382736	6.61772305382736
3	a_lp_al_1311	c_lp_do_0163	c_ll_ca_0242	cat_autosomes	0.199673868732	22071	14724	0.0309039003784	6.46112193888511	6.46112193888511
3	a_lp_al_1311	c_lp_do_0163	c_ll_cr_0205	cat_autosomes	0.193289342629	19169	12959	0.0303772446003	6.36296494867382	6.36296494867382
3	a_lp_al_1311	c_lp_do_0163	c_ll_ki_0090	cat_autosomes	0.194924406048	22130	14910	0.0309053918343	6.30713265481609	6.30713265481609
3	a_lp_al_1311	c_lp_do_0163	c_ll_ki_0091	cat_autosomes	0.181973581974	19015	13160	0.0308302982702	5.90242690418251	5.90242690418251
3	a_lp_al_1311	c_lp_do_0163	c_ll_vl_0112	cat_autosomes	0.198687254533	22280	14894	0.0287140742731	6.91950757817517	6.91950757817517
3	a_lp_al_1311	c_lp_do_0163	c_ll_vl_0113	cat_autosomes	0.198687169513	19722	13184	0.0298566033182	6.6547144494459	6.6547144494459
3	a_lp_al_1311	c_lp_do_0163	c_ll_ya_0138	cat_autosomes	0.193603438468	18884	12758	0.0303152635147	6.38633533151117	6.38633533151117
3	a_lp_al_1311	c_lp_do_0163	c_ll_ya_0146	cat_autosomes	0.193870277976	21775	14703	0.027679603207	7.00408443452583	7.00408443452583
3	a_lp_al_1311	c_lp_do_0173	a_ll_pv_0223	cat_autosomes	0.117142510023	22988	18167	0.0302269247175	3.87543592733335	3.87543592733335
3	a_lp_al_1311	c_lp_do_0173	c_ll_ba_0227	cat_autosomes	0.187611673615	26919	18414	0.0261640205538	7.17059800611385	7.17059800611385
3	a_lp_al_1311	c_lp_do_0173	c_ll_ba_0229	cat_autosomes	0.193129918305	27822	18815	0.0256312271406	7.53494622967471	7.53494622967471
3	a_lp_al_1311	c_lp_do_0173	c_ll_ca_0241	cat_autosomes	0.193583250334	28162	19027	0.0252727172583	7.65977193332561	7.65977193332561
3	a_lp_al_1311	c_lp_do_0173	c_ll_ca_0242	cat_autosomes	0.192668371697	27980	18940	0.0263204883324	7.32009107368381	7.32009107368381
3	a_lp_al_1311	c_lp_do_0173	c_ll_cr_0205	cat_autosomes	0.189725509947	23622	16088	0.0267700318288	7.08723512771052	7.08723512771052
3	a_lp_al_1311	c_lp_do_0173	c_ll_ki_0090	cat_autosomes	0.193353346582	28224	19078	0.0269341616241	7.17874011749422	7.17874011749422
3	a_lp_al_1311	c_lp_do_0173	c_ll_ki_0091	cat_autosomes	0.176856061568	23167	16204	0.0272271120107	6.49558651312329	6.49558651312329
3	a_lp_al_1311	c_lp_do_0173	c_ll_vl_0112	cat_autosomes	0.197041666667	28729	19271	0.0248849691332	7.91809970156319	7.91809970156319
3	a_lp_al_1311	c_lp_do_0173	c_ll_vl_0113	cat_autosomes	0.199274474239	24464	16334	0.0258215403473	7.717373617482	7.717373617482
3	a_lp_al_1311	c_lp_do_0173	c_ll_ya_0138	cat_autosomes	0.189959189959	23181	15780	0.0264803020008	7.17360360743851	7.17360360743851
3	a_lp_al_1311	c_lp_do_0173	c_ll_ya_0146	cat_autosomes	0.195287565599	27901	18784	0.0239191996311	8.16446907132649	8.16446907132649
3	a_lp_al_1311	c_lp_do_0300	a_ll_pv_0223	cat_autosomes	0.136134350394	18469	14043	0.0320741429116	4.24436440185485	4.24436440185485
3	a_lp_al_1311	c_lp_do_0300	c_ll_ba_0227	cat_autosomes	0.196212664937	21667	14559	0.0276788168296	7.0889108499453	7.0889108499453
3	a_lp_al_1311	c_lp_do_0300	c_ll_ba_0229	cat_autosomes	0.196303222484	22070	14827	0.0276295689634	7.10482392049028	7.10482392049028
3	a_lp_al_1311	c_lp_do_0300	c_ll_ca_0241	cat_autosomes	0.204320771489	22354	14769	0.0271454682678	7.52688328944267	7.52688328944267
3	a_lp_al_1311	c_lp_do_0300	c_ll_ca_0242	cat_autosomes	0.199263989609	22160	14796	0.0284454353425	7.00513060214206	7.00513060214206
3	a_lp_al_1311	c_lp_do_0300	c_ll_cr_0205	cat_autosomes	0.198944099379	19303	12897	0.027968960337	7.11303162441179	7.11303162441179
3	a_lp_al_1311	c_lp_do_0300	c_ll_ki_0090	cat_autosomes	0.198750908553	22265	14882	0.0284457155576	6.98702439566153	6.98702439566153
3	a_lp_al_1311	c_lp_do_0300	c_ll_ki_0091	cat_autosomes	0.187708668233	19210	13138	0.0283800979875	6.61409514215477	6.61409514215477
3	a_lp_al_1311	c_lp_do_0300	c_ll_vl_0112	cat_autosomes	0.203417979214	22463	14869	0.0266387510459	7.636168034436	7.636168034436
3	a_lp_al_1311	c_lp_do_0300	c_ll_vl_0113	cat_autosomes	0.202280765947	19715	13081	0.0276719325341	7.3099616623353	7.3099616623353
3	a_lp_al_1311	c_lp_do_0300	c_ll_ya_0138	cat_autosomes	0.19902759361	18989	12685	0.0278278182845	7.15210914399487	7.15210914399487
3	a_lp_al_1311	c_lp_do_0300	c_ll_ya_0146	cat_autosomes	0.196994535519	21905	14695	0.0257981266618	7.63600156327224	7.63600156327224
3	a_lp_al_1311	c_lp_do_0333	a_ll_pv_0223	cat_autosomes	0.123684055755	19106	14900	0.0249664650481	4.95400752636435	4.95400752636435
3	a_lp_al_1311	c_lp_do_0333	c_ll_ba_0227	cat_autosomes	0.181114837211	22365	15506	0.0226399226941	7.99979927750367	7.99979927750367
3	a_lp_al_1311	c_lp_do_0333	c_ll_ba_0229	cat_autosomes	0.183358453303	22769	15713	0.022807926733	8.03924247256131	8.03924247256131
3	a_lp_al_1311	c_lp_do_0333	c_ll_ca_0241	cat_autosomes	0.189806678383	23018	15674	0.0225573400023	8.41440871856553	8.41440871856553
3	a_lp_al_1311	c_lp_do_0333	c_ll_ca_0242	cat_autosomes	0.190011927605	22947	15619	0.022725220177	8.36127994030656	8.36127994030656
3	a_lp_al_1311	c_lp_do_0333	c_ll_cr_0205	cat_autosomes	0.186240961704	19933	13674	0.0233085306104	7.99024892718469	7.99024892718469
3	a_lp_al_1311	c_lp_do_0333	c_ll_ki_0090	cat_autosomes	0.183795177626	23026	15876	0.0226616861506	8.11039286329247	8.11039286329247
3	a_lp_al_1311	c_lp_do_0333	c_ll_ki_0091	cat_autosomes	0.174497837293	19822	13932	0.0227769196806	7.66116927749571	7.66116927749571
3	a_lp_al_1311	c_lp_do_0333	c_ll_vl_0112	cat_autosomes	0.188846252238	23236	15854	0.0217002137381	8.70250655210988	8.70250655210988
3	a_lp_al_1311	c_lp_do_0333	c_ll_vl_0113	cat_autosomes	0.191376701967	20475	13897	0.0219851113218	8.70483206410852	8.70483206410852
3	a_lp_al_1311	c_lp_do_0333	c_ll_ya_0138	cat_autosomes	0.18650325314	19604	13441	0.0231838049681	8.044548916652	8.044548916652
3	a_lp_al_1311	c_lp_do_0333	c_ll_ya_0146	cat_autosomes	0.187882593	22704	15522	0.0214213529735	8.77080888552775	8.77080888552775
3	a_lp_al_1311	c_lp_do_0335	a_ll_pv_0223	cat_autosomes	0.148177788722	18651	13837	0.0355355863644	4.16984223089805	4.16984223089805
3	a_lp_al_1311	c_lp_do_0335	c_ll_ba_0227	cat_autosomes	0.195433511596	21571	14518	0.0306786207757	6.37034868760461	6.37034868760461
3	a_lp_al_1311	c_lp_do_0335	c_ll_ba_0229	cat_autosomes	0.203312923682	22011	14573	0.0304589801051	6.67497476870401	6.67497476870401
3	a_lp_al_1311	c_lp_do_0335	c_ll_ca_0241	cat_autosomes	0.206986331091	22252	14620	0.0300688047115	6.88375654027368	6.88375654027368
3	a_lp_al_1311	c_lp_do_0335	c_ll_ca_0242	cat_autosomes	0.20435446906	22071	14581	0.0311286674164	6.56483190643544	6.56483190643544
3	a_lp_al_1311	c_lp_do_0335	c_ll_cr_0205	cat_autosomes	0.204721711776	19340	12767	0.0312169050687	6.55803998908485	6.55803998908485
3	a_lp_al_1311	c_lp_do_0335	c_ll_ki_0090	cat_autosomes	0.201953430645	22274	14789	0.0314139220553	6.42878753851519	6.42878753851519
3	a_lp_al_1311	c_lp_do_0335	c_ll_ki_0091	cat_autosomes	0.191010539368	19211	13049	0.0309981772587	6.16199261569132	6.16199261569132
3	a_lp_al_1311	c_lp_do_0335	c_ll_vl_0112	cat_autosomes	0.205888697153	22362	14726	0.0296045635898	6.9546269962222	6.9546269962222
3	a_lp_al_1311	c_lp_do_0335	c_ll_vl_0113	cat_autosomes	0.208681338779	19826	12980	0.0305085639438	6.84009051240213	6.84009051240213
3	a_lp_al_1311	c_lp_do_0335	c_ll_ya_0138	cat_autosomes	0.199582753825	18975	12661	0.0306576886501	6.5100391651459	6.5100391651459
3	a_lp_al_1311	c_lp_do_0335	c_ll_ya_0146	cat_autosomes	0.200882028666	21784	14496	0.0286260507673	7.01745519488391	7.01745519488391
3	a_lp_al_1311	c_lp_do_0443	a_ll_pv_0223	cat_autosomes	0.105331535727	22546	18249	0.0213939671031	4.92342234702873	4.92342234702873
3	a_lp_al_1311	c_lp_do_0443	c_ll_ba_0227	cat_autosomes	0.183485421767	26587	18343	0.0189429633052	9.68620478278769	9.68620478278769
3	a_lp_al_1311	c_lp_do_0443	c_ll_ba_0229	cat_autosomes	0.189559669806	27596	18801	0.0187000435188	10.1368571477081	10.1368571477081
3	a_lp_al_1311	c_lp_do_0443	c_ll_ca_0241	cat_autosomes	0.191301378633	27911	18947	0.0187051287325	10.2272152931306	10.2272152931306
3	a_lp_al_1311	c_lp_do_0443	c_ll_ca_0242	cat_autosomes	0.19011676666	27672	18831	0.0189715442477	10.0211540071678	10.0211540071678
3	a_lp_al_1311	c_lp_do_0443	c_ll_cr_0205	cat_autosomes	0.185837085551	23176	15912	0.0202318843288	9.18535725742865	9.18535725742865
3	a_lp_al_1311	c_lp_do_0443	c_ll_ki_0090	cat_autosomes	0.189498786356	27933	19033	0.0197451764568	9.59721918771402	9.59721918771402
3	a_lp_al_1311	c_lp_do_0443	c_ll_ki_0091	cat_autosomes	0.174661841329	22883	16078	0.0197663383746	8.83632759992831	8.83632759992831
3	a_lp_al_1311	c_lp_do_0443	c_ll_vl_0112	cat_autosomes	0.192999411715	28391	19205	0.0187164186014	10.311770420681	10.311770420681
3	a_lp_al_1311	c_lp_do_0443	c_ll_vl_0113	cat_autosomes	0.195478657479	24114	16228	0.0199206631711	9.81285892944526	9.81285892944526
3	a_lp_al_1311	c_lp_do_0443	c_ll_ya_0138	cat_autosomes	0.186340750789	22738	15595	0.0201895237046	9.22957636422814	9.22957636422814
3	a_lp_al_1311	c_lp_do_0443	c_ll_ya_0146	cat_autosomes	0.190256719504	27633	18799	0.0184721622132	10.299645342441	10.299645342441
3	a_lp_al_1311	c_lp_do_0444	a_ll_pv_0223	cat_autosomes	0.118256475047	17702	13958	0.0218718222134	5.40679573440154	5.40679573440154
3	a_lp_al_1311	c_lp_do_0444	c_ll_ba_0227	cat_autosomes	0.178319690769	20729	14455	0.0197610764225	9.02378427958332	9.02378427958332
3	a_lp_al_1311	c_lp_do_0444	c_ll_ba_0229	cat_autosomes	0.184242830041	21224	14620	0.0198750593878	9.27005179939712	9.27005179939712
3	a_lp_al_1311	c_lp_do_0444	c_ll_ca_0241	cat_autosomes	0.185117413846	21373	14696	0.0195354192171	9.47598880724098	9.47598880724098
3	a_lp_al_1311	c_lp_do_0444	c_ll_ca_0242	cat_autosomes	0.183562868397	21184	14613	0.0195468257175	9.39092981387043	9.39092981387043
3	a_lp_al_1311	c_lp_do_0444	c_ll_cr_0205	cat_autosomes	0.181427616714	18562	12861	0.0201833532442	8.98897296791533	8.98897296791533
3	a_lp_al_1311	c_lp_do_0444	c_ll_ki_0090	cat_autosomes	0.182593762118	21347	14755	0.019683924084	9.27628867794815	9.27628867794815
3	a_lp_al_1311	c_lp_do_0444	c_ll_ki_0091	cat_autosomes	0.170923379175	18476	13082	0.0197224249086	8.66644847005951	8.66644847005951
3	a_lp_al_1311	c_lp_do_0444	c_ll_vl_0112	cat_autosomes	0.189293598234	21550	14690	0.0191919115041	9.86319670104569	9.86319670104569
3	a_lp_al_1311	c_lp_do_0444	c_ll_vl_0113	cat_autosomes	0.186853929054	18887	12940	0.0195912296398	9.53763150600829	9.53763150600829
3	a_lp_al_1311	c_lp_do_0444	c_ll_ya_0138	cat_autosomes	0.178965114771	18182	12662	0.0204852228483	8.73630304616636	8.73630304616636
3	a_lp_al_1311	c_lp_do_0444	c_ll_ya_0146	cat_autosomes	0.184493857701	21068	14505	0.0196241663787	9.40136024841539	9.40136024841539
3	a_lp_al_1311	c_lp_sm_0134	a_ll_pv_0223	cat_autosomes	0.115912316669	17690	14015	0.0199594340677	5.80739495297509	5.80739495297509
3	a_lp_al_1311	c_lp_sm_0134	c_ll_ba_0227	cat_autosomes	0.172162631235	20599	14548	0.0187810365339	9.1668333067903	9.1668333067903
3	a_lp_al_1311	c_lp_sm_0134	c_ll_ba_0229	cat_autosomes	0.177795881675	20963	14634	0.0187923826853	9.46106114655049	9.46106114655049
3	a_lp_al_1311	c_lp_sm_0134	c_ll_ca_0241	cat_autosomes	0.178302360623	21114	14724	0.0187439781911	9.51251430220194	9.51251430220194
3	a_lp_al_1311	c_lp_sm_0134	c_ll_ca_0242	cat_autosomes	0.173420772378	20935	14747	0.0196519988604	8.82458693438323	8.82458693438323
3	a_lp_al_1311	c_lp_sm_0134	c_ll_cr_0205	cat_autosomes	0.181242643082	18565	12868	0.02107329044	8.60058582678558	8.60058582678558
3	a_lp_al_1311	c_lp_sm_0134	c_ll_ki_0090	cat_autosomes	0.177020708083	21144	14784	0.0182846773916	9.68136895673771	9.68136895673771
3	a_lp_al_1311	c_lp_sm_0134	c_ll_ki_0091	cat_autosomes	0.169956944666	18342	13013	0.0197435364039	8.60823214185823	8.60823214185823
3	a_lp_al_1311	c_lp_sm_0134	c_ll_vl_0112	cat_autosomes	0.174290677475	21294	14973	0.0185599373301	9.39069321060369	9.39069321060369
